,0
T001,0.46499999999999997
T002,0.43499999999999994
T003,0.6625000000000001
T004,0.55
T005,0.5874999999999999
T006,0.33
T007,0.5725
T008,0.42000000000000004
T009,0.43499999999999994
T010,0.34500000000000003
T011,0.36
T012,0.5574999999999999
T013,0.58
T014,0.625
T015,0.67
T016,0.44999999999999996
T017,0.39
T018,0.44999999999999996
T030,0.34500000000000003
T029,0.52
T028,0.5874999999999999
T027,0.535
T026,0.64
T025,0.34500000000000003
T024,0.6174999999999999
T023,0.58
T022,0.33
T020,0.34500000000000003
T031,0.6475
T032,0.52
T033,0.61
T035,0.64
T036,0.5874999999999999
T037,0.6025
T038,0.58
T039,0.495
T040,0.52
T041,0.535
T042,0.6025
T043,0.495
T044,0.6174999999999999
T045,0.52
T046,0.5725
T047,0.5425
T048,0.595
T049,0.64
T050,0.5275
T051,0.405
T052,0.595
T054,0.33
T056,0.565
T057,0.5725
T058,0.52
T059,0.43499999999999994
T060,0.39
T062,0.27
T064,0.5725
T065,0.52
T066,0.30000000000000004
T067,0.43499999999999994
T068,0.44999999999999996
T069,0.43499999999999994
T070,0.6174999999999999
T071,0.5425
T072,0.46499999999999997
T073,0.6174999999999999
T074,0.58
T076,0.42000000000000004
T077,0.6625000000000001
T078,0.495
T079,0.5275
T080,0.64
T061,0.48
T083,0.43499999999999994
T086,0.42000000000000004
T087,0.44999999999999996
T088,0.30000000000000004
T089,0.28500000000000003
T090,0.36
T092,0.195
T093,0.24
T094,0.595
T095,0.33
T096,0.535
T097,0.495
T098,0.44999999999999996
T099,0.495
T100,0.39
T101,0.34500000000000003
T102,0.34500000000000003
T103,0.5050000000000001
T104,0.36
T105,0.5275
T106,0.195
T108,0.495
T109,0.39
T110,0.43499999999999994
T112,0.39
T116,0.42000000000000004
T118,0.36
T120,0.405
T126,0.255
T127,0.535
T114,0.33
T115,0.375
T117,0.495
T119,0.30000000000000004
T121,0.46499999999999997
T122,0.34500000000000003
T123,0.5725
T124,0.255
T128,0.495
T129,0.34500000000000003
T130,0.535
T131,0.30000000000000004
T132,0.34500000000000003
T133,0.315
T134,0.6174999999999999
T135,0.6174999999999999
T136,0.6025
T137,0.5574999999999999
T138,0.5275
T139,0.255
T140,0.42000000000000004
T141,0.535
T142,0.7
T143,0.625
T144,0.27
T145,0.34500000000000003
T147,0.405
T148,0.33
T149,0.30000000000000004
T150,0.44999999999999996
T151,0.42000000000000004
T152,0.48
T153,0.655
T154,0.715
T155,0.33
T156,0.535
T157,0.46499999999999997
T158,0.46499999999999997
T159,0.44999999999999996
T160,0.6174999999999999
T161,0.43499999999999994
T162,0.28500000000000003
T164,0.21000000000000002
T165,0.315
T166,0.36
T167,0.28500000000000003
T168,0.55
T169,0.36
T170,0.34500000000000003
T171,0.52
T172,0.255
T174,0.39
T175,0.28500000000000003
T176,0.24
T125,0.5574999999999999
T178,0.375
T180,0.30000000000000004
